Left [ns] , Right [ns] , Common [ns]
1579097805210221600,1579097805210303700,1579097805210262528
1579097805277378400,1579097805277460500,1579097805277419520
1579097805344540400,1579097805344622600,1579097805344581376
1579097805409664500,1579097805409746700,1579097805409705472
1579097805476801000,1579097805476883200,1579097805476841984
1579097805543950500,1579097805544032700,1579097805543991552
1579097805609088300,1579097805609170500,1579097805609129472
1579097805676241500,1579097805676323600,1579097805676282624
1579097805743398100,1579097805743480300,1579097805743439104
1579097805810599500,1579097805810681700,1579097805810640640
1579097805875701600,1579097805875783700,1579097805875742720
1579097805942912200,1579097805942994400,1579097805942953216
1579097806010090200,1579097806010172300,1579097806010131200
1579097806075231100,1579097806075313300,1579097806075272192
1579097806142411900,1579097806142494100,1579097806142452992
1579097806209601400,1579097806209683600,1579097806209642496
1579097806276787100,1579097806276869300,1579097806276828160
1579097806341929600,1579097806342011800,1579097806341970688
1579097806409091000,1579097806409173200,1579097806409132032
1579097806476244700,1579097806476326900,1579097806476285696
1579097806541379700,1579097806541461900,1579097806541420800
1579097806608539200,1579097806608621400,1579097806608580352
1579097806675693300,1579097806675775500,1579097806675734528
1579097806742875300,1579097806742957500,1579097806742916352
1579097806807952000,1579097806808034200,1579097806807993088
1579097806875133700,1579097806875215900,1579097806875174912
1579097806942303900,1579097806942386100,1579097806942344960
1579097807074607000,1579097807074689200,1579097807074648064
1579097807141812500,1579097807141894700,1579097807141853696
1579097807208988300,1579097807209070600,1579097807209029376
1579097807274147400,1579097807274229600,1579097807274188544
1579097807341336700,1579097807341418900,1579097807341377792
1579097807408516500,1579097807408598700,1579097807408557568
1579097807540847800,1579097807540930000,1579097807540888832
1579097807608020300,1579097807608102500,1579097807608061440
1579097807675197300,1579097807675279600,1579097807675238400
1579097807740358900,1579097807740441200,1579097807740400128
1579097807807539800,1579097807807622000,1579097807807580928
1579097807874739100,1579097807874821400,1579097807874780160
1579097808007097100,1579097808007179400,1579097808007138304
1579097808074281000,1579097808074363300,1579097808074322176
1579097808141454000,1579097808141536300,1579097808141495040
1579097808206598100,1579097808206680400,1579097808206639360
1579097808273777600,1579097808273859900,1579097808273818624
1579097808340951800,1579097808341034100,1579097808340993024
1579097808473272800,1579097808473355100,1579097808473314048
1579097808540430300,1579097808540512600,1579097808540471552
1579097808607593900,1579097808607676200,1579097808607634944
1579097808672738700,1579097808672821000,1579097808672779776
1579097808739906500,1579097808739988700,1579097808739947520
1579097808807074300,1579097808807156600,1579097808807115520
1579097808939392900,1579097808939475200,1579097808939433984
1579097809006553900,1579097809006636200,1579097809006595072
1579097809073735800,1579097809073818100,1579097809073776896
1579097809138886300,1579097809138968600,1579097809138927360
1579097809206057800,1579097809206140100,1579097809206098944
1579097809273261200,1579097809273343500,1579097809273302272
1579097809405542400,1579097809405624700,1579097809405583616
1579097809472708200,1579097809472790600,1579097809472749312
1579097809539908800,1579097809539991100,1579097809539949824
1579097809605005000,1579097809605087300,1579097809605046272
1579097809672214500,1579097809672296800,1579097809672255744
1579097809739368400,1579097809739450700,1579097809739409664
1579097809806538600,1579097809806620900,1579097809806579712
1579097809871706000,1579097809871788300,1579097809871747072
1579097809938872500,1579097809938954900,1579097809938913792
1579097810006051100,1579097810006133500,1579097810006092288
1579097810071202400,1579097810071284700,1579097810071243520
1579097810138362200,1579097810138444500,1579097810138403328
1579097810205517500,1579097810205599900,1579097810205558784
1579097810272685200,1579097810272767600,1579097810272726528
1579097810337828700,1579097810337911000,1579097810337869824
1579097810404990200,1579097810405072600,1579097810405031424
1579097810472191900,1579097810472274300,1579097810472233216
1579097810537302000,1579097810537384400,1579097810537343232
1579097810604516100,1579097810604598500,1579097810604557312
1579097810671679000,1579097810671761400,1579097810671720192
1579097810738834100,1579097810738916500,1579097810738875392
1579097810803983100,1579097810804065500,1579097810804024320
1579097810871151400,1579097810871233800,1579097810871192576
1579097810938317300,1579097810938399700,1579097810938358528
1579097811003466900,1579097811003549300,1579097811003508224
1579097811070615200,1579097811070697500,1579097811070656256
1579097811137759500,1579097811137841900,1579097811137800704
1579097811204908500,1579097811204990900,1579097811204949760
1579097811270056800,1579097811270139200,1579097811270097920
1579097811337220900,1579097811337303300,1579097811337262080
1579097811404432000,1579097811404514400,1579097811404473088
1579097811469526100,1579097811469608600,1579097811469567232
1579097811536709300,1579097811536791800,1579097811536750592
1579097811603852900,1579097811603935300,1579097811603894016
1579097811670994100,1579097811671076500,1579097811671035392
1579097811736128200,1579097811736210600,1579097811736169472
1579097811803269200,1579097811803351700,1579097811803310336
1579097811870429100,1579097811870511500,1579097811870470400
1579097811935572800,1579097811935655300,1579097811935613952
1579097812002745600,1579097812002828000,1579097812002786816
1579097812069906300,1579097812069988700,1579097812069947392
1579097812137060000,1579097812137142500,1579097812137101312
1579097812202207300,1579097812202289800,1579097812202248448
1579097812269382700,1579097812269465100,1579097812269423872
1579097812336577000,1579097812336659500,1579097812336618240
1579097812401668300,1579097812401750800,1579097812401709568
1579097812468876300,1579097812468958700,1579097812468917504
1579097812536042600,1579097812536125100,1579097812536083968
1579097812603206500,1579097812603289000,1579097812603247872
1579097812668337700,1579097812668420200,1579097812668378880
1579097812735485100,1579097812735567500,1579097812735526400
1579097812802625900,1579097812802708400,1579097812802667264
1579097812867759100,1579097812867841600,1579097812867800320
1579097812934910500,1579097812934993000,1579097812934951680
1579097813002077200,1579097813002159700,1579097813002118400
1579097813069253800,1579097813069336300,1579097813069295104
1579097813134394600,1579097813134477100,1579097813134435840
1579097813201553100,1579097813201635600,1579097813201594368
1579097813268757300,1579097813268839800,1579097813268798464
1579097813333860600,1579097813333943100,1579097813333901824
1579097813401052000,1579097813401134500,1579097813401093376
1579097813468195200,1579097813468277700,1579097813468236544
1579097813535348200,1579097813535430700,1579097813535389440
1579097813600462100,1579097813600544600,1579097813600503296
1579097813667613600,1579097813667696100,1579097813667654912
1579097813734763600,1579097813734846100,1579097813734804736
1579097813799898800,1579097813799981300,1579097813799940096
1579097813867056700,1579097813867139200,1579097813867097856
1579097813934206300,1579097813934288800,1579097813934247424
1579097814001355200,1579097814001437700,1579097814001396480
1579097814066477600,1579097814066560100,1579097814066518784
1579097814133627900,1579097814133710400,1579097814133669120
1579097814200804300,1579097814200886900,1579097814200845568
1579097814265876700,1579097814265959300,1579097814265917952
1579097814333062600,1579097814333145200,1579097814333103872
1579097814400207600,1579097814400290100,1579097814400248832
1579097814467382000,1579097814467464600,1579097814467423232
1579097814532533500,1579097814532616100,1579097814532574720
1579097814599692100,1579097814599774700,1579097814599733504
1579097814666846300,1579097814666928900,1579097814666887680
1579097814731980600,1579097814732063100,1579097814732021760
1579097814799135600,1579097814799218200,1579097814799176960
1579097814866285700,1579097814866368200,1579097814866327040
1579097814933444200,1579097814933526800,1579097814933485568
1579097814998574300,1579097814998656900,1579097814998615552
1579097815065740400,1579097815065823000,1579097815065781760
1579097815132929800,1579097815133012300,1579097815132971008
1579097815198026500,1579097815198109100,1579097815198067712
1579097815265233800,1579097815265316400,1579097815265275136
1579097815332401500,1579097815332484100,1579097815332442880
1579097815399577700,1579097815399660300,1579097815399619072
1579097815464727100,1579097815464809700,1579097815464768512
1579097815531920000,1579097815532002600,1579097815531961344
1579097815599098600,1579097815599181200,1579097815599139840
1579097815664254900,1579097815664337500,1579097815664296192
1579097815731432700,1579097815731515300,1579097815731473920
1579097815798600200,1579097815798682800,1579097815798641408
1579097815865741600,1579097815865824300,1579097815865783040
1579097815930878400,1579097815930961000,1579097815930919680
1579097815998051800,1579097815998134500,1579097815998093056
1579097816065238800,1579097816065321400,1579097816065280000
1579097816130321400,1579097816130404000,1579097816130362624
1579097816197504500,1579097816197587200,1579097816197545728
1579097816264649300,1579097816264732000,1579097816264690688
1579097816331797700,1579097816331880300,1579097816331838976
1579097816396942900,1579097816397025500,1579097816396984320
1579097816464106800,1579097816464189500,1579097816464148224
1579097816531267000,1579097816531349700,1579097816531308288
1579097816596408400,1579097816596491100,1579097816596449792
1579097816663557900,1579097816663640600,1579097816663599360
1579097816730717700,1579097816730800400,1579097816730759168
1579097816797877600,1579097816797960200,1579097816797918976
1579097816863020700,1579097816863103400,1579097816863062016
1579097816930187700,1579097816930270400,1579097816930228992
1579097816997405700,1579097816997488400,1579097816997447168
1579097817062519500,1579097817062602200,1579097817062560768
1579097817129736500,1579097817129819200,1579097817129777920
1579097817196908300,1579097817196990900,1579097817196949504
1579097817264083000,1579097817264165700,1579097817264124416
1579097817329241200,1579097817329323900,1579097817329282560
1579097817396425700,1579097817396508400,1579097817396466944
1579097817463589000,1579097817463671700,1579097817463630336
1579097817528738000,1579097817528820700,1579097817528779264
1579097817595919200,1579097817596001900,1579097817595960576
1579097817663082100,1579097817663164800,1579097817663123456
1579097817730245300,1579097817730328100,1579097817730286592
1579097817795391300,1579097817795474100,1579097817795432704
1579097817862560500,1579097817862643300,1579097817862601984
1579097817929772300,1579097817929855100,1579097817929813760
1579097817994889200,1579097817994971900,1579097817994930432
1579097818062111400,1579097818062194200,1579097818062152704
1579097818129279800,1579097818129362600,1579097818129321216
1579097818196477300,1579097818196560000,1579097818196518656
1579097818261634600,1579097818261717300,1579097818261676032
1579097818328823900,1579097818328906600,1579097818328865280
1579097818396023700,1579097818396106400,1579097818396065024
1579097818461186800,1579097818461269600,1579097818461228288
1579097818528382900,1579097818528465600,1579097818528424192
1579097818595579900,1579097818595662700,1579097818595621376
1579097818662755000,1579097818662837700,1579097818662796288
1579097818727934200,1579097818728017000,1579097818727975680
1579097818795144100,1579097818795226900,1579097818795185408
1579097818862364600,1579097818862447300,1579097818862405888
1579097818927458000,1579097818927540700,1579097818927499264
1579097818994658200,1579097818994741000,1579097818994699520
1579097819061826400,1579097819061909100,1579097819061867776
1579097819128997300,1579097819129080100,1579097819129038592
1579097819194140800,1579097819194223600,1579097819194182144
1579097819261305100,1579097819261387800,1579097819261346560
1579097819328463500,1579097819328546300,1579097819328504832
1579097819393600900,1579097819393683700,1579097819393642240
1579097819460756400,1579097819460839200,1579097819460797696
1579097819527925200,1579097819528008000,1579097819527966720
1579097819595088000,1579097819595170800,1579097819595129344
1579097819660223100,1579097819660305900,1579097819660264448
1579097819727381200,1579097819727464000,1579097819727422720
1579097819794575400,1579097819794658200,1579097819794616832
1579097819859671800,1579097819859754600,1579097819859713280
1579097819926854700,1579097819926937500,1579097819926896128
1579097819994012800,1579097819994095700,1579097819994054144
1579097820061159700,1579097820061242500,1579097820061201152
1579097820126284900,1579097820126367700,1579097820126326272
1579097820193440200,1579097820193523000,1579097820193481728
1579097820260596900,1579097820260679700,1579097820260638208
1579097820325732200,1579097820325815100,1579097820325773568
1579097820392886100,1579097820392969000,1579097820392927488
1579097820460043900,1579097820460126800,1579097820460085248
1579097820527199400,1579097820527282300,1579097820527240960
1579097820592340200,1579097820592423000,1579097820592381696
1579097820659494100,1579097820659576900,1579097820659535616
1579097820726695100,1579097820726777900,1579097820726736384
1579097820791796900,1579097820791879700,1579097820791838208
1579097820858997200,1579097820859080000,1579097820859038720
1579097820926146400,1579097820926229300,1579097820926187776
1579097820993305800,1579097820993388700,1579097820993347328
1579097821058447300,1579097821058530200,1579097821058488832
1579097821125607300,1579097821125690200,1579097821125648640
1579097821192778700,1579097821192861500,1579097821192820224
1579097821257924300,1579097821258007100,1579097821257965824
1579097821325088200,1579097821325171100,1579097821325129728
1579097821392239200,1579097821392322100,1579097821392280576
1579097821459384500,1579097821459467400,1579097821459426048
1579097821524504600,1579097821524587500,1579097821524546048
1579097821591634600,1579097821591717500,1579097821591676160
1579097821658825200,1579097821658908100,1579097821658866688
1579097821723919600,1579097821724002500,1579097821723961088
1579097821791096700,1579097821791179600,1579097821791138048
1579097821858242500,1579097821858325400,1579097821858284032
1579097821925381800,1579097821925464700,1579097821925423360
1579097821990501400,1579097821990584300,1579097821990542848
1579097822057632000,1579097822057714900,1579097822057673472
1579097822124781800,1579097822124864700,1579097822124823296
1579097822189933000,1579097822190015900,1579097822189974528
1579097822257108900,1579097822257191800,1579097822257150464
1579097822324287800,1579097822324370700,1579097822324329216
1579097822391458500,1579097822391541500,1579097822391500032
1579097822456602700,1579097822456685600,1579097822456644096
1579097822523767600,1579097822523850600,1579097822523809024
1579097822590959700,1579097822591042700,1579097822591001088
1579097822656059100,1579097822656142000,1579097822656100608
1579097822723244600,1579097822723327600,1579097822723286016
1579097822790401300,1579097822790484300,1579097822790442752
1579097822857559600,1579097822857642600,1579097822857601024
1579097822922702500,1579097822922785400,1579097822922744064
1579097822989875200,1579097822989958100,1579097822989916672
1579097823057050600,1579097823057133600,1579097823057092096
1579097823122210600,1579097823122293600,1579097823122252032
1579097823189374800,1579097823189457800,1579097823189416192
1579097823256557400,1579097823256640300,1579097823256598784
1579097823323739800,1579097823323822800,1579097823323781376
1579097823388903300,1579097823388986300,1579097823388944896
1579097823456071100,1579097823456154100,1579097823456112640
1579097823523287600,1579097823523370500,1579097823523329024
1579097823588395800,1579097823588478800,1579097823588437248
1579097823655604000,1579097823655687000,1579097823655645440
1579097823722773000,1579097823722856000,1579097823722814464
1579097823789945100,1579097823790028000,1579097823789986560
1579097823855094500,1579097823855177500,1579097823855136000
1579097823922261300,1579097823922344300,1579097823922302720
1579097823989421700,1579097823989504800,1579097823989463296
1579097824121668000,1579097824121751000,1579097824121709568
1579097824188804600,1579097824188887600,1579097824188846080
1579097824255951600,1579097824256034600,1579097824255993088
1579097824321081800,1579097824321164800,1579097824321123328
1579097824388229600,1579097824388312600,1579097824388271104
1579097824455376900,1579097824455459900,1579097824455418368
1579097824587672700,1579097824587755700,1579097824587714304
1579097824654831200,1579097824654914200,1579097824654872576
1579097824721986200,1579097824722069200,1579097824722027776
1579097824787117800,1579097824787200800,1579097824787159296
1579097824854273500,1579097824854356600,1579097824854315008
1579097824921425900,1579097824921509000,1579097824921467392
1579097825053687000,1579097825053770000,1579097825053728512
1579097825120823400,1579097825120906400,1579097825120865024
1579097825187984400,1579097825188067400,1579097825188025856
1579097825253105800,1579097825253188900,1579097825253147392
1579097825320253000,1579097825320336100,1579097825320294656
1579097825387426500,1579097825387509600,1579097825387468032
1579097825519687200,1579097825519770300,1579097825519728640
1579097825586841100,1579097825586924200,1579097825586882560
1579097825654039500,1579097825654122600,1579097825654081024
1579097825719139200,1579097825719222300,1579097825719180800
1579097825786295200,1579097825786378300,1579097825786336768
1579097825853494700,1579097825853577800,1579097825853536256
1579097825985796900,1579097825985880000,1579097825985838336
1579097826052967700,1579097826053050800,1579097826053009152
1579097826120164100,1579097826120247200,1579097826120205568
1579097826185246200,1579097826185329300,1579097826185287680
1579097826252428000,1579097826252511100,1579097826252469504
1579097826319578900,1579097826319662100,1579097826319620608
1579097826451851900,1579097826451935100,1579097826451893504
1579097826518987600,1579097826519070700,1579097826519029248
1579097826586134100,1579097826586217200,1579097826586175744
1579097826651256700,1579097826651339800,1579097826651298304
1579097826718377100,1579097826718460200,1579097826718418688
1579097826785512300,1579097826785595400,1579097826785553920
1579097826852658000,1579097826852741100,1579097826852699648
1579097826917783300,1579097826917866500,1579097826917825024
1579097826984919500,1579097826985002600,1579097826984961024
1579097827052069100,1579097827052152200,1579097827052110592
1579097827117194700,1579097827117277800,1579097827117236224
1579097827184328600,1579097827184411800,1579097827184370176
1579097827251521800,1579097827251604900,1579097827251563264
1579097827318661500,1579097827318744600,1579097827318703104
1579097827383774600,1579097827383857700,1579097827383816192
1579097827450913200,1579097827450996400,1579097827450954752
1579097827518047300,1579097827518130400,1579097827518088960
1579097827583152300,1579097827583235500,1579097827583193856
1579097827650297300,1579097827650380500,1579097827650338816
1579097827717440900,1579097827717524100,1579097827717482496
1579097827784595400,1579097827784678600,1579097827784636928
1579097827849722300,1579097827849805400,1579097827849763840
1579097827916873000,1579097827916956200,1579097827916914688
1579097827984022500,1579097827984105700,1579097827984064000
1579097828049166100,1579097828049249300,1579097828049207808
1579097828116319200,1579097828116402400,1579097828116360704
1579097828183501500,1579097828183584700,1579097828183543040
1579097828250635900,1579097828250719100,1579097828250677504
1579097828315769000,1579097828315852200,1579097828315810560
1579097828382923100,1579097828383006300,1579097828382964736
1579097828450070000,1579097828450153200,1579097828450111488
1579097828515195200,1579097828515278500,1579097828515236864
1579097828582341700,1579097828582424900,1579097828582383360
1579097828649489700,1579097828649573000,1579097828649531392
1579097828716631700,1579097828716715000,1579097828716673280
1579097828781748400,1579097828781831700,1579097828781789952
1579097828848889900,1579097828848973100,1579097828848931584
1579097828916054600,1579097828916137800,1579097828916096256
1579097828981203200,1579097828981286400,1579097828981244928
1579097829048376800,1579097829048460000,1579097829048418304
1579097829115585300,1579097829115668500,1579097829115627008
1579097829182772300,1579097829182855500,1579097829182813952
1579097829247911200,1579097829247994500,1579097829247952896
1579097829315048800,1579097829315132000,1579097829315090432
1579097829382186100,1579097829382269300,1579097829382227712
1579097829447341400,1579097829447424700,1579097829447383040
1579097829514522100,1579097829514605300,1579097829514563584
1579097829581613300,1579097829581696500,1579097829581654784
1579097829648696300,1579097829648779600,1579097829648738048
1579097829713759400,1579097829713842700,1579097829713800960
1579097829780836600,1579097829780919900,1579097829780878336
1579097829847910200,1579097829847993400,1579097829847951872
1579097829912961400,1579097829913044700,1579097829913003008
1579097829980034700,1579097829980118000,1579097829980076288
1579097830047149600,1579097830047232900,1579097830047191296
1579097830114230400,1579097830114313700,1579097830114272000
1579097830179273400,1579097830179356800,1579097830179315200
1579097830246335200,1579097830246418500,1579097830246376960
1579097830313410900,1579097830313494200,1579097830313452544
1579097830378463300,1579097830378546600,1579097830378504960
1579097830445554800,1579097830445638200,1579097830445596416
1579097830512649100,1579097830512732400,1579097830512690688
1579097830579822300,1579097830579905600,1579097830579864064
1579097830645015800,1579097830645099100,1579097830645057536
1579097830712218000,1579097830712301300,1579097830712259584
1579097830779426600,1579097830779509900,1579097830779468288
1579097830844600500,1579097830844683800,1579097830844642048
1579097830911806500,1579097830911889800,1579097830911848192
1579097830979016500,1579097830979099900,1579097830979058176
1579097831046223400,1579097831046306800,1579097831046265088
1579097831111343300,1579097831111426700,1579097831111385088
1579097831178571300,1579097831178654600,1579097831178612992
1579097831245745000,1579097831245828400,1579097831245786624
1579097831310900900,1579097831310984300,1579097831310942720
1579097831378047000,1579097831378130400,1579097831378088704
1579097831445169900,1579097831445253200,1579097831445211648
1579097831512289000,1579097831512372400,1579097831512330752
1579097831577401400,1579097831577484800,1579097831577443072
1579097831644522800,1579097831644606100,1579097831644564480
1579097831711643200,1579097831711726600,1579097831711684864
1579097831776746400,1579097831776829800,1579097831776788224
1579097831843870500,1579097831843953900,1579097831843912192
1579097831911001400,1579097831911084800,1579097831911043072
1579097831978164000,1579097831978247400,1579097831978205696
1579097832043236200,1579097832043319600,1579097832043277824
1579097832110402000,1579097832110485400,1579097832110443776
1579097832177531400,1579097832177614800,1579097832177573120
1579097832242646100,1579097832242729500,1579097832242687744
1579097832309767400,1579097832309850800,1579097832309809152
1579097832376883300,1579097832376966700,1579097832376924928
1579097832444004500,1579097832444087900,1579097832444046080
1579097832509111600,1579097832509195000,1579097832509153280
1579097832576235900,1579097832576319300,1579097832576277504
1579097832643357800,1579097832643441200,1579097832643399424
1579097832708454300,1579097832708537700,1579097832708495872
1579097832775576900,1579097832775660300,1579097832775618560
1579097832842704600,1579097832842788000,1579097832842746368
1579097832909871600,1579097832909955000,1579097832909913344
1579097832974925600,1579097832975009000,1579097832974967296
1579097833042079600,1579097833042163100,1579097833042121472
1579097833109210100,1579097833109293500,1579097833109251840
1579097833174318300,1579097833174401700,1579097833174360064
1579097833241441300,1579097833241524800,1579097833241483008
1579097833308570600,1579097833308654000,1579097833308612352
1579097833375703700,1579097833375787200,1579097833375745536
1579097833440802000,1579097833440885500,1579097833440843776
1579097833507918600,1579097833508002000,1579097833507960320
1579097833575048500,1579097833575131900,1579097833575090176
1579097833640156300,1579097833640239700,1579097833640197888
1579097833707275200,1579097833707358700,1579097833707316992
1579097833774407100,1579097833774490600,1579097833774448896
1579097833841577400,1579097833841660800,1579097833841619200
1579097833906650100,1579097833906733600,1579097833906691840
1579097833973822300,1579097833973905800,1579097833973863936
1579097834040956700,1579097834041040200,1579097834040998400
1579097834106074400,1579097834106157900,1579097834106116096
1579097834173205500,1579097834173289000,1579097834173247232
1579097834240344900,1579097834240428500,1579097834240386816
1579097834307478900,1579097834307562400,1579097834307520768
1579097834372579300,1579097834372662900,1579097834372621056
1579097834439737000,1579097834439820500,1579097834439778816
1579097834506877800,1579097834506961300,1579097834506919424
1579097834572006100,1579097834572089600,1579097834572047872
1579097834639148400,1579097834639231900,1579097834639190272
1579097834706299100,1579097834706382600,1579097834706340864
1579097834773470400,1579097834773553900,1579097834773512192
1579097834838548800,1579097834838632300,1579097834838590464
1579097834905724600,1579097834905808200,1579097834905766400
1579097834972837600,1579097834972921200,1579097834972879360
1579097835037941900,1579097835038025500,1579097835037983744
1579097835105058500,1579097835105142000,1579097835105100288
1579097835172172600,1579097835172256100,1579097835172214272
1579097835239277900,1579097835239361400,1579097835239319552
1579097835304368700,1579097835304452300,1579097835304410624
1579097835371488800,1579097835371572300,1579097835371530496
1579097835438602900,1579097835438686500,1579097835438644736
1579097835503697300,1579097835503780900,1579097835503739136
1579097835570808000,1579097835570891600,1579097835570849792
1579097835637923700,1579097835638007300,1579097835637965568
1579097835705081900,1579097835705165500,1579097835705123584
1579097835770145900,1579097835770229500,1579097835770187776
1579097835837290900,1579097835837374500,1579097835837332736
1579097835904396300,1579097835904479900,1579097835904438016
1579097835969483900,1579097835969567500,1579097835969525760
1579097836036589300,1579097836036673000,1579097836036631040
1579097836103692600,1579097836103776200,1579097836103734272
1579097836170799300,1579097836170882900,1579097836170841088
1579097836235889100,1579097836235972700,1579097836235930880
1579097836303005300,1579097836303088900,1579097836303047168
1579097836370113700,1579097836370197400,1579097836370155520
1579097836435202200,1579097836435285900,1579097836435244032
1579097836502332600,1579097836502416200,1579097836502374400
1579097836569455800,1579097836569539400,1579097836569497600
1579097836636605800,1579097836636689400,1579097836636647680
1579097836701671400,1579097836701755100,1579097836701713152
1579097836768844100,1579097836768927800,1579097836768886016
1579097836835963000,1579097836836046600,1579097836836004864
1579097836901072900,1579097836901156600,1579097836901114624
1579097836968198500,1579097836968282200,1579097836968240384
1579097837035320700,1579097837035404400,1579097837035362560
1579097837102458400,1579097837102542100,1579097837102500352
1579097837167584800,1579097837167668400,1579097837167626496
1579097837234709900,1579097837234793600,1579097837234751744
1579097837301826400,1579097837301910100,1579097837301868288
1579097837366925600,1579097837367009300,1579097837366967552
1579097837434039200,1579097837434122900,1579097837434081024
1579097837501171600,1579097837501255300,1579097837501213440
1579097837568336000,1579097837568419700,1579097837568377856
1579097837633412100,1579097837633495800,1579097837633453824
1579097837700575500,1579097837700659200,1579097837700617472
1579097837767704300,1579097837767788000,1579097837767746048
1579097837832811000,1579097837832894700,1579097837832852736
1579097837899930600,1579097837900014300,1579097837899972352
1579097837967058200,1579097837967141900,1579097837967100160
1579097838034186300,1579097838034270100,1579097838034228224
1579097838099300200,1579097838099384000,1579097838099342080
1579097838166427700,1579097838166511500,1579097838166469632
1579097838233566100,1579097838233649800,1579097838233607936
1579097838298670600,1579097838298754300,1579097838298712576
1579097838365807600,1579097838365891300,1579097838365849344
1579097838432945300,1579097838433029000,1579097838432987136
1579097838500114900,1579097838500198600,1579097838500156672
1579097838565193600,1579097838565277300,1579097838565235456
1579097838632355000,1579097838632438700,1579097838632396800
1579097838699493400,1579097838699577200,1579097838699535360
1579097838764604700,1579097838764688500,1579097838764646656
1579097838831736000,1579097838831819800,1579097838831777792
1579097838898874000,1579097838898957800,1579097838898915840
1579097838966013400,1579097838966097200,1579097838966055424
1579097839031154100,1579097839031237900,1579097839031195904
1579097839098300100,1579097839098383900,1579097839098341888
1579097839165437100,1579097839165520800,1579097839165478912
1579097839230548600,1579097839230632400,1579097839230590464
1579097839297681800,1579097839297765600,1579097839297723648
1579097839364822900,1579097839364906700,1579097839364864768
1579097839431996000,1579097839432079800,1579097839432037888
1579097839497072900,1579097839497156700,1579097839497114880
1579097839564272200,1579097839564356000,1579097839564314112
1579097839631435100,1579097839631518900,1579097839631476992
1579097839696565800,1579097839696649600,1579097839696607744
1579097839763730800,1579097839763814600,1579097839763772672
1579097839830890600,1579097839830974400,1579097839830932480
1579097839898042800,1579097839898126600,1579097839898084608
1579097839963171100,1579097839963254900,1579097839963213056
1579097840030323700,1579097840030407500,1579097840030365696
1579097840097474500,1579097840097558300,1579097840097516288
1579097840162618900,1579097840162702800,1579097840162660864
1579097840229800900,1579097840229884700,1579097840229842688
1579097840296981600,1579097840297065400,1579097840297023488
1579097840364174600,1579097840364258400,1579097840364216576
1579097840429197800,1579097840429281700,1579097840429239808
1579097840496307800,1579097840496391600,1579097840496349696
1579097840563387500,1579097840563471400,1579097840563429376
1579097840628454700,1579097840628538500,1579097840628496640
1579097840695612400,1579097840695696200,1579097840695654400
1579097840762767600,1579097840762851500,1579097840762809600
1579097840829930600,1579097840830014500,1579097840829972480
1579097840895062900,1579097840895146800,1579097840895104768
1579097840962206300,1579097840962290200,1579097840962248192
1579097841029348200,1579097841029432100,1579097841029390080
1579097841161635700,1579097841161719600,1579097841161677568
1579097841228786100,1579097841228870000,1579097841228828160
1579097841295940000,1579097841296023900,1579097841295981824
1579097841361045100,1579097841361129100,1579097841361086976
1579097841428183900,1579097841428267800,1579097841428225792
1579097841495321400,1579097841495405300,1579097841495363328
1579097841627582200,1579097841627666200,1579097841627624192
1579097841694714800,1579097841694798800,1579097841694756864
1579097841761843300,1579097841761927300,1579097841761885184
1579097841826955600,1579097841827039500,1579097841826997504
1579097841894105500,1579097841894189500,1579097841894147584
1579097841961282000,1579097841961365900,1579097841961324032
1579097842093533300,1579097842093617200,1579097842093575168
1579097842160690700,1579097842160774600,1579097842160732672
1579097842227877000,1579097842227961000,1579097842227919104
1579097842292968700,1579097842293052600,1579097842293010688
1579097842360154500,1579097842360238500,1579097842360196608
1579097842427325100,1579097842427409000,1579097842427367168
1579097842559642300,1579097842559726300,1579097842559684352
1579097842626875100,1579097842626959100,1579097842626917120
1579097842694074000,1579097842694158000,1579097842694116096
1579097842759252300,1579097842759336200,1579097842759294208
1579097842826437000,1579097842826521000,1579097842826479104
1579097842893629000,1579097842893713000,1579097842893670912
1579097843026005300,1579097843026089300,1579097843026047232
1579097843093194300,1579097843093278300,1579097843093236224
1579097843160384900,1579097843160468900,1579097843160427008
1579097843225571900,1579097843225655900,1579097843225613824
1579097843292783200,1579097843292867200,1579097843292825088
1579097843360004200,1579097843360088200,1579097843360046080
1579097843492408700,1579097843492492700,1579097843492450816
1579097843559614400,1579097843559698400,1579097843559656448
1579097843626787200,1579097843626871200,1579097843626829312
1579097843691946400,1579097843692030500,1579097843691988480
1579097843759126400,1579097843759210500,1579097843759168512
1579097843826311500,1579097843826395500,1579097843826353408
1579097843893547600,1579097843893631600,1579097843893589504
1579097843958663900,1579097843958747900,1579097843958705920
1579097844025866900,1579097844025950900,1579097844025908992
1579097844093040000,1579097844093124000,1579097844093082112
1579097844158189200,1579097844158273300,1579097844158231296
1579097844225355500,1579097844225439600,1579097844225397504
1579097844292532700,1579097844292616700,1579097844292574720
1579097844359702800,1579097844359786900,1579097844359744768
1579097844424852800,1579097844424936800,1579097844424894720
1579097844492021600,1579097844492105700,1579097844492063744
1579097844559179800,1579097844559263900,1579097844559221760
1579097844624318600,1579097844624402700,1579097844624360704
1579097844691474300,1579097844691558400,1579097844691516416
1579097844758634700,1579097844758718800,1579097844758676736
1579097844825836100,1579097844825920200,1579097844825878272
1579097844890955200,1579097844891039400,1579097844890997248
1579097844958182600,1579097844958266800,1579097844958224640
1579097845025362900,1579097845025447000,1579097845025404928
1579097845090522500,1579097845090606600,1579097845090564608
