Left [ns] , Right [ns] , Common [ns]
1579097775174582600,1579097775174663700,1579097775174623232
1579097775306872800,1579097775306954000,1579097775306913280
1579097775374025300,1579097775374106500,1579097775374065920
1579097775441176200,1579097775441257300,1579097775441216768
1579097775506283600,1579097775506364800,1579097775506324224
1579097775573438100,1579097775573519200,1579097775573478656
1579097775640589800,1579097775640670900,1579097775640630272
1579097775707753100,1579097775707834200,1579097775707793664
1579097775772889400,1579097775772970500,1579097775772930048
1579097775840059200,1579097775840140300,1579097775840099840
1579097775907221800,1579097775907303000,1579097775907262464
1579097775972365000,1579097775972446100,1579097775972405504
1579097776039530500,1579097776039611600,1579097776039570944
1579097776106754200,1579097776106835400,1579097776106794752
1579097776173925500,1579097776174006600,1579097776173966080
1579097776239059100,1579097776239140200,1579097776239099648
1579097776306233700,1579097776306314900,1579097776306274304
1579097776373407400,1579097776373488500,1579097776373447936
1579097776438558100,1579097776438639300,1579097776438598656
1579097776505720500,1579097776505801600,1579097776505761024
1579097776572894900,1579097776572976100,1579097776572935424
1579097776640061300,1579097776640142400,1579097776640101888
1579097776705198300,1579097776705279500,1579097776705238784
1579097776772360500,1579097776772441700,1579097776772401152
1579097776839528800,1579097776839609900,1579097776839569408
1579097776904685400,1579097776904766500,1579097776904726016
1579097776971852800,1579097776971934000,1579097776971893504
1579097777039061700,1579097777039142900,1579097777039102208
1579097777106227700,1579097777106308900,1579097777106268416
1579097777171371200,1579097777171452300,1579097777171411712
1579097777238538900,1579097777238620000,1579097777238579456
1579097777305696800,1579097777305777900,1579097777305737472
1579097777370834200,1579097777370915300,1579097777370874624
1579097777437990500,1579097777438071700,1579097777438031104
1579097777505157200,1579097777505238300,1579097777505197824
1579097777572315600,1579097777572396800,1579097777572356096
1579097777637464000,1579097777637545200,1579097777637504512
1579097777704640400,1579097777704721500,1579097777704680960
1579097777771797000,1579097777771878200,1579097777771837696
1579097777836935700,1579097777837016800,1579097777836976128
1579097777904097100,1579097777904178300,1579097777904137728
1579097777971289900,1579097777971371100,1579097777971330560
1579097778038454900,1579097778038536000,1579097778038495488
1579097778103605800,1579097778103687000,1579097778103646464
1579097778170773600,1579097778170854800,1579097778170814208
1579097778237948500,1579097778238029700,1579097778237989120
1579097778303104100,1579097778303185200,1579097778303144704
1579097778370288200,1579097778370369400,1579097778370328832
1579097778437474700,1579097778437555900,1579097778437515264
1579097778504660200,1579097778504741400,1579097778504700928
1579097778569816900,1579097778569898100,1579097778569857536
1579097778636982000,1579097778637063200,1579097778637022720
1579097778704152300,1579097778704233400,1579097778704192768
1579097778769291300,1579097778769372500,1579097778769331968
1579097778836458000,1579097778836539200,1579097778836498688
1579097778903653500,1579097778903734700,1579097778903694080
1579097778970810500,1579097778970891700,1579097778970851072
1579097779035955100,1579097779036036300,1579097779035995648
1579097779103141400,1579097779103222600,1579097779103182080
1579097779170305800,1579097779170387000,1579097779170346496
1579097779235459100,1579097779235540300,1579097779235499776
1579097779302621200,1579097779302702400,1579097779302661888
1579097779369790200,1579097779369871400,1579097779369830912
1579097779436969400,1579097779437050600,1579097779437009920
1579097779502125200,1579097779502206400,1579097779502165760
1579097779569300300,1579097779569381500,1579097779569340928
1579097779636475900,1579097779636557100,1579097779636516608
1579097779701620400,1579097779701701600,1579097779701660928
1579097779768795100,1579097779768876300,1579097779768835584
1579097779836011200,1579097779836092400,1579097779836051712
1579097779903192600,1579097779903273800,1579097779903233280
1579097779968358400,1579097779968439600,1579097779968399104
1579097780035536700,1579097780035617900,1579097780035577344
1579097780102699000,1579097780102780300,1579097780102739712
1579097780167844800,1579097780167926000,1579097780167885312
1579097780235003200,1579097780235084400,1579097780235043840
1579097780302181600,1579097780302262800,1579097780302222080
1579097780369355200,1579097780369436400,1579097780369395712
1579097780434509700,1579097780434590900,1579097780434550272
1579097780501683000,1579097780501764200,1579097780501723648
1579097780568864200,1579097780568945500,1579097780568904960
1579097780634031400,1579097780634112600,1579097780634072064
1579097780701211600,1579097780701292900,1579097780701252352
